benchmark,category,requirement,id,name,policy_id,description,effects,github_link,github_version
CIS,Identity and Access Management,Ensure that multi-factor authentication is enabled for all privileged users,1.1,MFA should be enabled accounts with write permissions on your subscription,9297c21d-2ed6-4474-b48f-163f75654ce3,Multi-Factor Authentication (MFA) should be enabled for all subscription accounts with write privileges to prevent a breach of accounts or resources.,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_EnableMFAForWritePermissions_Audit.json,3.0.0
CIS,Identity and Access Management,Ensure that multi-factor authentication is enabled for all privileged users,1.1,MFA should be enabled on accounts with owner permissions on your subscription,aa633080-8b72-40c4-a2d7-d00c03e80bed,Multi-Factor Authentication (MFA) should be enabled for all subscription accounts with owner permissions to prevent a breach of accounts or resources.,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_EnableMFAForOwnerPermissions_Audit.json,3.0.0
CIS,Identity and Access Management,Ensure that multi-factor authentication is enabled for all non-privileged users,1.2,MFA should be enabled on accounts with read permissions on your subscription,e3576e28-8b17-4677-84c3-db2990658d64,Multi-Factor Authentication (MFA) should be enabled for all subscription accounts with read privileges to prevent a breach of accounts or resources.,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_EnableMFAForReadPermissions_Audit.json,3.0.0
CIS,Identity and Access Management,Ensure guest users are reviewed on a monthly basis,1.3,External accounts with owner permissions should be removed from your subscription,f8456c1c-aa66-4dfb-861a-25d127b775c9,External accounts with owner permissions should be removed from your subscription in order to prevent unmonitored access.,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_RemoveExternalAccountsWithOwnerPermissions_Audit.json,3.0.0
CIS,Identity and Access Management,Ensure guest users are reviewed on a monthly basis,1.3,External accounts with read permissions should be removed from your subscription,5f76cf89-fbf2-47fd-a3f4-b891fa780b60,External accounts with read privileges should be removed from your subscription in order to prevent unmonitored access.,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_RemoveExternalAccountsReadPermissions_Audit.json,3.0.0
CIS,Identity and Access Management,Ensure guest users are reviewed on a monthly basis,1.3,External accounts with write permissions should be removed from your subscription,5c607a2e-c700-4744-8254-d77e7c9eb5e4,External accounts with write privileges should be removed from your subscription in order to prevent unmonitored access.,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_RemoveExternalAccountsWritePermissions_Audit.json,3.0.0
CIS,Identity and Access Management,Ensure that no custom subscription owner roles are created,1.21,Custom subscription owner roles should not exist,10ee2ea2-fb4d-45b8-a7e9-a2e770044cd9,This policy ensures that no custom subscription owner roles exist.,"Audit, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/General/CustomSubscription_OwnerRole_Audit.json,2.0.0
CIS,Security Center,Ensure that Azure Defender is set to On for Servers,2.1,Azure Defender for servers should be enabled,4da35fc9-c9e7-4960-aec9-797fe7d9051d,Azure Defender for servers provides real-time threat protection for server workloads and generates hardening recommendations as well as alerts about suspicious activities.,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_EnableAdvancedThreatProtectionOnVM_Audit.json,1.0.3
CIS,Security Center,Ensure that Azure Defender is set to On for App Service,2.2,Azure Defender for App Service should be enabled,2913021d-f2fd-4f3d-b958-22354e2bdbcb,"Azure Defender for App Service leverages the scale of the cloud, and the visibility that Azure has as a cloud provider, to monitor for common web app attacks.","AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_EnableAdvancedThreatProtectionOnAppServices_Audit.json,1.0.3
CIS,Security Center,Ensure that Azure Defender is set to On for Azure SQL database servers,2.3,Azure Defender for Azure SQL Database servers should be enabled,7fe3b40f-802b-4cdd-8bd4-fd799c948cc2,"Azure Defender for SQL provides functionality for surfacing and mitigating potential database vulnerabilities, detecting anomalous activities that could indicate threats to SQL databases, and discovering and classifying sensitive data.","AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_EnableAdvancedDataSecurityOnSqlServers_Audit.json,1.0.2
CIS,Security Center,Ensure that Azure Defender is set to On for SQL servers on machines,2.4,Azure Defender for SQL servers on machines should be enabled,6581d072-105e-4418-827f-bd446d56421b,"Azure Defender for SQL provides functionality for surfacing and mitigating potential database vulnerabilities, detecting anomalous activities that could indicate threats to SQL databases, and discovering and classifying sensitive data.","AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_EnableAdvancedDataSecurityOnSqlServerVirtualMachines_Audit.json,1.0.2
CIS,Security Center,Ensure that Azure Defender is set to On for Storage,2.5,Azure Defender for Storage should be enabled,308fbb08-4ab8-4e67-9b29-592e93fb94fa,Azure Defender for Storage provides detections of unusual and potentially harmful attempts to access or exploit storage accounts.,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_EnableAdvancedThreatProtectionOnStorageAccounts_Audit.json,1.0.3
CIS,Security Center,Ensure that Azure Defender is set to On for Kubernetes,2.6,Azure Defender for Kubernetes should be enabled,523b5cd1-3e23-492f-a539-13118b6d1e3a,Azure Defender for Kubernetes provides real-time threat protection for containerized environments and generates alerts for suspicious activities.,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_EnableAdvancedThreatProtectionOnKubernetesService_Audit.json,1.0.3
CIS,Security Center,Ensure that Azure Defender is set to On for Container Registries,2.7,Azure Defender for container registries should be enabled,c25d9a16-bc35-4e15-a7e5-9db606bf9ed4,"Azure Defender for container registries provides vulnerability scanning of any images pulled within the last 30 days, pushed to your registry, or imported, and exposes detailed findings per image.","AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_EnableAdvancedThreatProtectionOnContainerRegistry_Audit.json,1.0.3
CIS,Security Center,Ensure that Azure Defender is set to On for Key Vault,2.8,Azure Defender for Key Vault should be enabled,0e6763cc-5078-4e64-889d-ff4d9a839047,Azure Defender for Key Vault provides an additional layer of protection and security intelligence by detecting unusual and potentially harmful attempts to access or exploit key vault accounts.,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_EnableAdvancedThreatProtectionOnKeyVaults_Audit.json,1.0.3
